project_name,project_code,legacy_ocms_code,original_cost,expenditure,physical_progress,planned_duration_months,project_age_months,approval_to_start_months,State,agency,cost_overrun_flag
"Darlipali Super Thermal Power Project, Stage-II [1x800 MW]",National Thermal Power Corporation [NTPC],619056,11131.0,460.85,1.95,62.0,5.0,0.0,Odisha,National Thermal Power Corporation [NTPC],0
"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]",National Hydroelectric Power Corporation Limited [NHPC],602181,5748.04,4356.15,72.51,48.0,73.0,12.0,Sikkim,National Hydroelectric Power Corporation Limited [NHPC],0
Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A wholly owned subsidiary of NHPC Ltd. acquired through NCLT,National Hydroelectric Power Corporation Limited [NHPC],605156,938.29,1625.93,96.53,33.0,56.0,5.0,Sikkim,National Hydroelectric Power Corporation Limited [NHPC],1
"Singrauli Super Thermal Power Project, Stage-III [2x800 MW]",National Thermal Power Corporation [NTPC],612142,17195.0,3306.21,19.8,71.0,25.0,0.0,Uttar Pradesh,National Thermal Power Corporation [NTPC],0
Tapovan-Vishnugad HEP [4x130 MW],National Thermal Power Corporation [NTPC],602185,2978.0,7715.24,77.0,76.0,233.0,0.0,Uttarakhand,National Thermal Power Corporation [NTPC],1
Vishnugad Pipalkoti Hydro Electric Project [444 MW],THDC India Limited,602195,3860.35,5429.35,80.0,107.0,147.0,65.0,Uttarakhand,THDC India Limited,1
"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",Damodar Valley Corporation,400062,17673.0,1950.25,9.4,52.0,14.0,25.0,West Bengal,Damodar Valley Corporation,0
Rammam-III HEPP [3x40 MW],National Thermal Power Corporation [NTPC],602184,1381.84,1568.56,55.06,60.0,139.0,0.0,West Bengal,National Thermal Power Corporation [NTPC],1
Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6,Damodar Valley Corporation,602538,1037.0,1133.78,96.0,35.0,62.0,20.0,West Bengal,Damodar Valley Corporation,1
Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,Power Grid Corporation of India Limited [POWERGRID],611967,823.0,798.31,98.34,24.0,31.0,0.0,Andhra Pradesh,Power Grid Corporation of India Limited [POWERGRID],0
Transmission system strengthening at Kurnool- III PS for integration of additional RE generation projects [POWERGRID Kurnool III PS RE Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617183,2886.0,721.48,26.19,33.0,13.0,0.0,Andhra Pradesh,Power Grid Corporation of India Limited [POWERGRID],0
North Eastern Region Expansion Scheme-XXIII [NERES-XXIII],Power Grid Corporation of India Limited [POWERGRID],617375,209.38,3.14,1.5,30.0,8.0,0.0,Arunachal Pradesh,Power Grid Corporation of India Limited [POWERGRID],0
Transmission system for evacuation of Power from REZ in Rajasthan [20 GW] under phase-III Part-D Phase-II,Power Grid Corporation of India Limited [POWERGRID],615336,284.0,22.72,7.75,16.0,18.0,11.0,Delhi,Power Grid Corporation of India Limited [POWERGRID],0
Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],612139,4231.0,2538.6,62.0,24.0,28.0,0.0,Gujarat,Power Grid Corporation of India Limited [POWERGRID],0
Transmission System for Evacuation of Power from Potential Energy Renewable Zone in Khavda Area of Gujarat under Ph-IV [7GW] Part E2,Power Grid Corporation of India Limited [POWERGRID],612855,697.0,369.41,56.0,24.0,23.0,0.0,Gujarat,Power Grid Corporation of India Limited [POWERGRID],0
Augmentation of Transformation Capacity at jam Khambhaliya PS [GIS] [SPV Name POWERGRID Jam Khambhaliya Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],615342,329.0,36.19,13.5,21.0,18.0,0.0,Gujarat,Power Grid Corporation of India Limited [POWERGRID],0
Provision of Dynamic Reactive Compensation at Khavda pooling Station 1 [KPS1] and Khavda Pooling station 3 [KPS3],Power Grid Corporation of India Limited [POWERGRID],615343,501.0,25.05,6.0,24.0,17.0,0.0,Gujarat,Power Grid Corporation of India Limited [POWERGRID],0
Transmission System for Evacuation of Power from Potential Renewable Energy Zone in Khavda area of Gujarat under Phase-IV [7GW] Part B [SPV Name POWERGRID South Olpad Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],615345,4766.0,1239.16,27.59,24.0,18.0,0.0,Gujarat,Power Grid Corporation of India Limited [POWERGRID],0
Augmentation of Transformation Capacity at KPS1 [GIS] and KPS2 [GIS] [Phase-V Part B1 and Part B2 Scheme] [SPV Name- POWERGRID KPS1 and 2 Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617069,466.0,93.2,22.5,24.0,14.0,0.0,Gujarat,Power Grid Corporation of India Limited [POWERGRID],0
Augmentation of Banaskantha [Raghanesda] PS [GIS] [POWERGRID Banaskantha Transco Limited],Power Grid Corporation of India Limited [POWERGRID],617182,172.0,58.48,36.0,24.0,13.0,0.0,Gujarat,Power Grid Corporation of India Limited [POWERGRID],0
