rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,expenditure,physical_progress,project_age_months,overrun_probability,risk_score,risk_level
1956,Rehabilitation and upgradation of 2 lane with paved shoulder from existing km. 195.175 to km. 220.000 Design Chainage km71.300 to Km. 95.947 Excluding existing chainage Km 200.300 to Km 202.400 Design chainage Km 76.400 to Km 78.400 on Dharasu to Yamunotri Road of NH- 134 Old NH-94,MoRTH,617974,Uttarakhand,MoRTH,344.73,0.0,17.78,6.0,0.15424511,0.15424511,LOW
1957,Balance work of NH-66 from design Km 84/00 to Km 87/100 Indapur Bypass and Km 91/600 to Km 99/100 Mangaon Bypass to four lane with paved shoulder in State of Maharashtra under NHO on EPC Mode.,MoRTH,617945,Maharashtra,MoRTH,354.21,0.0,52.09,6.0,0.1541115,0.1541115,LOW
1958,Chandil - Anara - Damodar - 3rd line [121.26 km],CAO/C/SER,616227,"Multi-States
(Jharkhand, West
Bengal)",CAO/C/SER,1932.01,4.51,0.0,9.0,0.14839117,0.14839117,LOW
1959,Improvement and Widening two lannig with paved Shoulder of NH 127B from km 31.500 Goeragre to km 63.224 Package-II in state of Meghalaya,MoRTH,618076,Meghalaya,MoRTH,504.0,0.0,2.5,11.0,0.1471528,0.1471528,LOW
1960,Tiupati Katpadi 104.39 kms,South Central Railway [SCR] - II,617210,Andhra Pradesh,South Central Railway [SCR] - II,1215.56,0.16,0.05,12.0,0.13752104,0.13752104,LOW
1961,"Construction of 4 lane Gauripur Bypass Starting bfrom Km 852.56 of NH- 31Dumardoha Pt-II and Terminating at Km 862.17 Baladmara via. Khudimari Pt.- II, Fulkumari, Charaldanga, Sajuakuti,Geramari Pt.-III and finally meeting at km 862.17 of NH-17New/ NH-31Old in the State of Assam under EPC Mode Job no. 31/AS/ 2023- 24/265",MoRTH,617896,Assam,MoRTH,421.15,0.0,17.9,12.0,0.13734695,0.13734695,LOW
1962,BALLARPUR NORTH WEST OC MINE,Western Coalfields Limited [WCL],615330,Maharashtra,Western Coalfields Limited [WCL],360.81,3.84,5.17,40.0,0.13537523,0.13537523,LOW
1963,Eastern Region Expansion Scheme-44 [ERES-44],Power Grid Corporation of India Limited [POWERGRID],617270,"Multi-States
(Bihar, West
Bengal)",Power Grid Corporation of India Limited [POWERGRID],408.94,6.13,1.5,17.0,0.13226295,0.13226295,LOW
1964,"Group Gathering Station, Lakwagaon",Ministry of Petroleum & Natural Gas,619316,Assam,Ministry of Petroleum & Natural Gas,495.59,18.04,5.7,6.0,0.12807448,0.12807448,LOW
1965,SAONER-III EXPN UG MINE 1.54,Western Coalfields Limited [WCL],619055,Maharashtra,Western Coalfields Limited [WCL],444.42,0.0,0.0,8.0,0.12526476,0.12526476,LOW
1966,POKHRAN - RAMDEVRA New Line,North Western Railway [NWR],617404,Rajasthan,North Western Railway [NWR],189.21,0.0,0.0,12.0,0.122684285,0.122684285,LOW
1967,North Eastern Region Expansion Scheme-XXIII [NERES-XXIII],Power Grid Corporation of India Limited [POWERGRID],617375,Arunachal Pradesh,Power Grid Corporation of India Limited [POWERGRID],209.38,3.14,1.5,8.0,0.118370086,0.118370086,LOW
1968,New Broad Gauge line between Naliya to Jakhau Port,Western Railway [WR] - II,611943,Gujarat,Western Railway [WR] - II,410.26,11.23,5.0,38.0,0.11053766,0.11053766,LOW
1969,Augmentation of Transformation Capacity and Implementation of Line Bays at Mandsaur S/S for RE Interconnection [SPV Name- POWERGRID Mandsaur I RE Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617802,Madhya Pradesh,Power Grid Corporation of India Limited [POWERGRID],319.0,12.76,2.5,6.0,0.10186519,0.10186519,LOW
1970,Transmission System Strengthening at Davanagere for Integration of RE Generation [SPV Name - POWERGRID Davanagere Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617803,Karnataka,Power Grid Corporation of India Limited [POWERGRID],379.0,17.06,2.5,7.0,0.057173353,0.057173353,LOW
